z,x,beta,w_AA,w_BB,w_AB,U_hat,m_AB_hat
6,0.5,11604966.92584426,-1.0,-1.0,-1.0,-3.0,0.25
6,0.5,11604966.92584426,-1.0,-1.0,1.0,-0.1097482263388683,1.445125886830566
6,0.5,11604966.92584426,-1.0,1.0,-1.0,-1.50203850569886,1.50203850569886
6,0.5,11604966.92584426,-1.0,1.0,1.0,1.497927851429714,1.497927851429714
6,0.5,11604966.92584426,1.0,-1.0,-1.0,-1.5005020923815238,1.5005020923815238
6,0.5,11604966.92584426,1.0,-1.0,1.0,1.4983478148370326,1.4983478148370326
6,0.5,11604966.92584426,1.0,1.0,-1.0,-0.1038835850820745,1.5519417925410373
6,0.5,11604966.92584426,1.0,1.0,1.0,3.0,0.25
6,0.5,0.0116049669258442,-1.0,-1.0,-1.0,-3.0,0.25
6,0.5,0.0116049669258442,-1.0,-1.0,1.0,-0.00502446199769,1.497487769001155
6,0.5,0.0116049669258442,-1.0,1.0,-1.0,-1.4992911613677264,1.4992911613677264
6,0.5,0.0116049669258442,-1.0,1.0,1.0,1.4993348210357929,1.4993348210357929
6,0.5,0.0116049669258442,1.0,-1.0,-1.0,-1.500260696860628,1.500260696860628
6,0.5,0.0116049669258442,1.0,-1.0,1.0,1.5000999138172368,1.5000999138172368
6,0.5,0.0116049669258442,1.0,1.0,-1.0,-0.0023182543387283,1.501159127169364
6,0.5,0.0116049669258442,1.0,1.0,1.0,3.0,0.25
6,0.2993192663455232,0.2904964020219489,-0.5824727807953565,0.7871198445051855,-0.4868084329457252,-1.259901783193803,1.2600229906902507
2,0.2105263157894736,0.0131110203749491,0.5012302224113783,-0.5834434920280105,-0.4021616606812253,0.15474393975771,0.3271909079051103
6,0.4255876194811106,47357.1349385167,0.2531042331822573,0.2173008539500294,0.9426708655472412,1.7463460644791844,1.459776724491242
4,0.2182716049382716,128.06918296652552,-0.1432485017980214,-0.7781461465353814,-0.3443388651322219,-0.5108604156678105,0.4537430638308111
6,0.4928374113859953,257869.23277554777,-0.4819960181993199,-0.8530493684761109,0.365282412341926,-0.4468635316491305,1.498570671607866
6,0.3133095620717888,3043326.449881993,-0.4361585605306242,0.1165424000266106,0.6818741943184841,0.2970508532683349,1.29030523743401
4,0.035,961322.213051457,-0.1065476320571032,-0.26874782220625,-0.2361557729057257,-0.2309977908566244,0.1349985002999449
6,0.2744679485913963,29092.59854317309,-0.881041986545051,0.7442673419004562,0.191213187679051,-0.995402683306526,1.191975026213642
6,0.3934406904752142,3.1881925087352934,-0.8784633312306784,0.8906234938980166,0.0091782377087386,-0.5428652192743308,1.4307052044428958
6,0.3909255497284294,10351.447907347349,-0.2355020298270744,0.5131148235647416,0.8472918699980527,1.03777142959679,1.2227733483471428
4,0.4722222222222222,79213.61773555694,0.7740767237080743,0.2896314223934297,-0.791694559694879,-0.7949534753305606,1.4246361657080575
2,0.3608247422680412,2.2117888365564657,0.1663265841366992,0.3280833661827869,0.7799235195610013,0.4195850005906942,0.3658452841756326
2,0.044776119402985,0.0897048334427935,-0.460167481949107,-0.5333719515387798,-0.5502053457827139,-0.4681597662471669,0.0882271306932661
2,0.4571428571428571,4132753.1011304767,0.5974812790859996,0.2404063755822916,-0.8534746867913074,-0.4558656656141303,0.6995439733209312
4,0.1331487889273356,108.82520184457448,0.6317590914110833,0.973827926658851,0.0736749588446379,0.9946739929238834,0.493659490751366
