d,L,x,T,w_AA,w_BB,w_AB,U,z,N,beta,x_actual,U_hat,m_AB_hat,m_AB_hat_fixed
1,100,0.0,1000000.0,-1.0,1.0,1.0,-100.0,2,100,0.0116049669258442,0.0,-1.0,-99.0,-99.0
1,100,0.0,1000000.0,1.0,-1.0,-1.0,100.0,2,100,0.0116049669258442,0.0,1.0,-99.0,-99.0
1,100,0.0,1000000.0,1.0,-1.0,1.0,100.0,2,100,0.0116049669258442,0.0,1.0,99.0,99.0
1,100,0.0,1000000.0,1.0,1.0,-1.0,100.0,2,100,0.0116049669258442,0.0,1.0,-49.5,-49.5
1,100,0.0,1000000.0,1.0,1.0,1.0,100.0,2,100,0.0116049669258442,0.0,1.0,inf,0.0
1,100,0.5,0.001,-1.0,-1.0,-1.0,-100.0,2,100,11604966.92584426,0.5,-1.0,-inf,0.25
1,100,0.5,0.001,-1.0,-1.0,1.0,-43.75968120159399,2,100,11604966.92584426,0.5,-0.4375968120159399,-21.379840600797,-21.379840600797
1,100,0.5,0.001,-1.0,1.0,-1.0,-71.20805433556532,2,100,11604966.92584426,0.5,-0.7120805433556532,71.20805433556532,71.20805433556532
1,100,0.5,0.001,-1.0,1.0,1.0,23.430552847235763,2,100,11604966.92584426,0.5,0.2343055284723576,23.430552847235763,23.430552847235763
1,100,0.5,0.001,1.0,-1.0,-1.0,-77.54509004676146,2,100,11604966.92584426,0.5,-0.7754509004676146,77.54509004676146,77.54509004676146
1,100,0.5,0.001,1.0,-1.0,1.0,24.512287438562808,2,100,11604966.92584426,0.5,0.245122874385628,24.512287438562808,24.512287438562808
1,100,0.5,0.001,1.0,1.0,-1.0,-53.523932380338096,2,100,11604966.92584426,0.5,-0.5352393238033809,27.261966190169048,27.261966190169048
1,100,0.5,0.001,1.0,1.0,1.0,100.0,2,100,11604966.92584426,0.5,1.0,inf,0.25
1,100,0.5,1000000.0,-1.0,-1.0,-1.0,-100.0,2,100,0.0116049669258442,0.5,-1.0,-inf,0.25
1,100,0.5,1000000.0,-1.0,-1.0,1.0,4.228328858355709,2,100,0.0116049669258442,0.5,0.042283288583557,2.6141644291778543,2.6141644291778543
1,100,0.5,1000000.0,-1.0,1.0,-1.0,-50.29756851215744,2,100,0.0116049669258442,0.5,-0.5029756851215744,50.29756851215744,50.29756851215744
1,100,0.5,1000000.0,-1.0,1.0,1.0,49.179894100529495,2,100,0.0116049669258442,0.5,0.491798941005295,49.179894100529495,49.179894100529495
1,100,0.5,1000000.0,1.0,-1.0,-1.0,-54.28540357298213,2,100,0.0116049669258442,0.5,-0.5428540357298214,54.28540357298213,54.28540357298213
1,100,0.5,1000000.0,1.0,-1.0,1.0,52.15038424807876,2,100,0.0116049669258442,0.5,0.5215038424807876,52.15038424807876,52.15038424807876
1,100,0.5,1000000.0,1.0,1.0,-1.0,-4.868195659021705,2,100,0.0116049669258442,0.5,-0.048681956590217,2.9340978295108524,2.9340978295108524
1,100,0.5,1000000.0,1.0,1.0,1.0,100.0,2,100,0.0116049669258442,0.5,1.0,inf,0.25
3,100,0.0,0.001,-1.0,-1.0,-1.0,-3000000.0,6,1000000,11604966.92584426,0.0,-3.0,-inf,0.0
3,100,0.0,0.001,-1.0,-1.0,1.0,-3000000.0,6,1000000,11604966.92584426,0.0,-3.0,-1499998.5,-1499998.5
3,100,0.0,0.001,-1.0,1.0,-1.0,-3000000.0,6,1000000,11604966.92584426,0.0,-3.0,2999997.0,2999997.0
3,100,0.0,0.001,-1.0,1.0,1.0,-3000000.0,6,1000000,11604966.92584426,0.0,-3.0,-2999997.0,-2999997.0
3,100,0.0,0.001,1.0,-1.0,-1.0,3000000.0,6,1000000,11604966.92584426,0.0,3.0,-2999997.0,-2999997.0
3,100,0.0,0.001,1.0,-1.0,1.0,3000000.0,6,1000000,11604966.92584426,0.0,3.0,2999997.0,2999997.0
3,100,0.0,0.001,1.0,1.0,-1.0,3000000.0,6,1000000,11604966.92584426,0.0,3.0,-1499998.5,-1499998.5
3,100,0.0,0.001,1.0,1.0,1.0,3000000.0,6,1000000,11604966.92584426,0.0,3.0,inf,0.0
3,100,0.0,1000000.0,-1.0,-1.0,-1.0,-3000000.0,6,1000000,0.0116049669258442,0.0,-3.0,-inf,0.0
3,100,0.0,1000000.0,-1.0,-1.0,1.0,-3000000.0,6,1000000,0.0116049669258442,0.0,-3.0,-1499998.5,-1499998.5
3,100,0.0,1000000.0,-1.0,1.0,-1.0,-3000000.0,6,1000000,0.0116049669258442,0.0,-3.0,2999997.0,2999997.0
3,100,0.0,1000000.0,-1.0,1.0,1.0,-3000000.0,6,1000000,0.0116049669258442,0.0,-3.0,-2999997.0,-2999997.0
3,100,0.0,1000000.0,1.0,-1.0,-1.0,3000000.0,6,1000000,0.0116049669258442,0.0,3.0,-2999997.0,-2999997.0
