d, L, x, T, w_AA, w_BB, w_AB, U
2.0, 15.0, 0.4578295035747483, 0.8418373688321931, 0.17698944650742665, 0.8630976432375028, 0.19869096674549525, 120.16701880218343
1.0, 91.0, 0.13022991915325954, 0.0011654688051226255, 0.7887582089516563, -0.8609807285406328, 0.37377404111128487, 57.00861763725722
1.0, 42.0, 0.3048109938807749, 40.89027639493946, 0.825720448652683, -0.661978040093266, -0.15890811951239292, 10.284823761026958
2.0, 23.0, 0.18923881245558477, 2.077112935496271, -0.6225135993095579, 0.2664273717569834, 0.1432707958575603, -419.29624820271835
1.0, 19.0, 0.08590706468864201, 400.6547741543231, 0.024700080674348257, -0.05618029561802684, 0.8204240134270739, 2.816311845718054
2.0, 83.0, 0.12339834453501863, 758.3554465797126, -0.47155059878910244, 0.011166298178211909, -0.14945070000806715, -5452.568183909523
2.0, 72.0, 0.3808636658113786, 443493.2322300208, 0.8328506821090618, 0.3320740065357344, 0.9377627244362874, 8379.222709026162
2.0, 67.0, 0.4570695684218295, 62901.98492878996, -0.4921950835515587, -0.22322693160597873, -0.3448704306650088, -3257.4901178663263
2.0, 23.0, 0.2329975441111372, 0.0032161366499491744, -0.5540918414023659, 0.6743607149178701, 0.9037197212220958, -107.61002686568452
3.0, 71.0, 0.06262480552566202, 0.0033537263336944163, -0.27347941724239755, 0.913906245513509, 0.2984424738232452, -216560.0002154444
2.0, 70.0, 0.2866478753462396, 0.0013721197845095745, -0.8321158147801277, 0.6825112795160622, -0.6938280435931652, -6830.593203147574
1.0, 82.0, 0.34515614946590795, 0.1913589131267092, 0.2799178992169491, 0.9202521218063173, -0.8483170064663241, -19.943408735831294
2.0, 34.0, 0.08355142604679949, 199689.78756093018, -0.2583833238075648, 0.37478929910428804, 0.06625158960494537, -471.6581204420251
3.0, 86.0, 0.12562227920808888, 0.0034965759725365635, -0.9753478094863635, -0.5272696601159454, 0.022231997113750568, -1430246.5839607134
2.0, 88.0, 0.36867383593488934, 54.480521609127074, -0.658852219960113, -0.5644198557953222, 0.4616189112074247, -4675.2562623579115
3.0, 23.0, 0.04695723435158322, 0.24011893083640445, 0.45656374339323325, 0.9248482272980134, 0.916604907353195, 18149.55879543569
2.0, 70.0, 0.40369080812174435, 41147.165422915954, -0.3129776566513591, 0.06850023193466548, 0.3249676810314026, 527.1569637886785
2.0, 81.0, 0.2082110741627159, 0.08492528931682769, 0.8474993817651, 0.024006011955530315, -0.49435421943309166, 4373.5802774071235
3.0, 56.0, 0.1839993787631234, 0.3133606567341626, 0.9999444311883616, 0.9160878163462634, 0.4106733681981629, 431683.3801374899
3.0, 38.0, 0.36477201331778625, 418436.50802026165, -0.6206737574646282, -0.6260432952457959, 0.10802997428404049, -46858.30943352481
